id,context,question,choice_1,choice_2,choice_3,choice_4,choice_5,answer,explanation
18,"ある正規母集団から大きさn=10の標本を抽出した。標本不偏分散はs^2=20であった。χ^2(9, 0.025)=19.02、χ^2(9, 0.975)=2.70とする。",母分散σ^2の95%信頼区間として最も近いものはどれか。,"[5.05, 35.56]","[9.46, 66.67]","[10.25, 72.13]","[2.10, 14.81]","[1.05, 7.41]",2,"信頼区間=[(n-1)s^2/χ^2(0.025), (n-1)s^2/χ^2(0.975)]=[9×20/19.02, 9×20/2.70]=[9.464, 66.667]。"
19,ある食品の内容量は平均200g、標準偏差5gとされている。無作為に25個抽出し平均X̄=198gを得た。母集団は正規分布に従い分散は既知σ=5とする。有意水準5%で平均が変化したかを両側検定する。Pr(|Z|<=1.96)=0.95とする。,検定統計量Zの値と判定として正しいものはどれか。,Z=-0.4、棄却しない,Z=-1.0、棄却しない,Z=-2.0、棄却する,Z=-2.5、棄却する,Z=-4.0、棄却する,3,Z=(198-200)/(5/√25)=-2/1=-2.0。|Z|=2.0>1.96なので帰無仮説を棄却する。
20,"あるサンプルからn=16、X̄=52、s=8(不偏標本標準偏差)を得た。母平均μ=50との両側検定を有意水準5%で行う。t(15, 0.025)=2.131とする。",検定統計量tの値と判定として正しいものはどれか。,t=1.0、棄却しない,t=2.0、棄却しない,t=2.5、棄却する,t=4.0、棄却する,t=8.0、棄却する,1,t=(52-50)/(8/√16)=2/2=1.0。|t|=1.0<2.131なので帰無仮説を棄却しない。
21,"独立2標本の平均の差の検定で、A群:n1=25, X̄1=105, s1^2=16、B群:n2=25, X̄2=100, s2^2=20。等分散を仮定する。t(48, 0.025)≈2.011とする。",2標本のt検定の検定統計量tの値として最も近いものはどれか。,2.50,3.13,4.17,5.00,6.25,2,プールド分散sp^2=(24×16+24×20)/48=18。SE=√(18×(1/25+1/25))=√(18×0.08)=√1.44=1.2。t=(105-100)/1.2≈4.17。最も近いのは4.17。
22,独立2標本のt検定でWelchの方法を用いる際、,等分散を仮定する場合と比べた特徴として最も適切なものはどれか。,必ず自由度が大きくなる,必ず自由度が標本サイズの和-2となる,母分散が等しいとは仮定せず、自由度をデータから推定する,片側検定でしか使えない,両群の標本サイズが等しい場合のみ使用可能,3,Welchのt検定は2群の母分散が等しいと仮定せず、自由度はSatterthwaiteの近似で算出する。
23,母比率の検定について、ある製品の不良率はp0=0.05とされている。n=400の標本で不良品が30個発見された。両側検定を有意水準5%で行う。Pr(|Z|<=1.96)=0.95とする。,検定統計量Zの値として最も近いものはどれか。,1.45,1.96,2.30,2.80,3.16,3,p̂=30/400=0.075。Z=(0.075-0.05)/√(0.05×0.95/400)=0.025/√0.0001188=0.025/0.01089≈2.295。最も近いのは2.30。
24,"6面サイコロを120回投げた結果、各目の出現回数が18, 22, 16, 24, 20, 20であった。サイコロが公平かどうかを有意水準5%で適合度検定する。χ^2(5, 0.05)=11.07とする。",検定統計量(カイ二乗統計量)の値として最も近いものはどれか。,1.20,2.00,3.50,5.40,11.07,2,期待度数は各20。χ^2=Σ(O-E)^2/E=((18-20)^2+(22-20)^2+(16-20)^2+(24-20)^2+(20-20)^2+(20-20)^2)/20=(4+4+16+16+0+0)/20=40/20=2.0。
25,性別と商品Aの購入有無について、2×2のクロス集計を行った。,観測度数と周辺合計から計算されるカイ二乗統計量を求めたい。期待度数はどのように計算するか。,各セルの観測度数を平均する,期待度数=(行合計×列合計)/総合計,期待度数=(行合計+列合計)/2,期待度数=総合計/(行数×列数),期待度数=観測度数の平方根,2,独立性の検定における各セルの期待度数は(行合計×列合計)/総合計で求める。
26,独立性の検定において、3行×4列のクロス表を分析する。,検定統計量が従うカイ二乗分布の自由度はいくらか。,3,4,6,7,12,3,自由度=(行数-1)×(列数-1)=(3-1)×(4-1)=2×3=6。
27,あるt検定で帰無仮説H0:μ=μ0を有意水準5%で行ったところ、p値=0.03であった。,この結果に関する解釈として正しいものはどれか。,H0が真である確率が3%である,H0が偽である確率が97%である,H0が真であるとしたとき、観測されたデータ以上に極端な結果が得られる確率が3%である,H1が真である確率が3%である,検出力が3%である,3,p値はH0が真であるという仮定の下で、観測値以上に極端な結果が得られる確率である。
28,ある仮説検定における第1種の過誤と第2種の過誤について、,次の記述のうち正しいものはどれか。,第1種の過誤は帰無仮説が偽であるのに採択する誤りである,第2種の過誤は帰無仮説が真であるのに棄却する誤りである,検出力は第2種の過誤の確率βである,有意水準αを下げると第2種の過誤βは大きくなる傾向がある,αとβの和は常に1である,4,αとβの間にはトレードオフがあり、αを小さくするとβは大きくなる傾向がある。第1種は真を棄却、第2種は偽を採択、検出力は1-β。
29,対応のある2標本のt検定について、,次の記述のうち最も適切なものはどれか。,2群が独立であることを仮定する,各個体の差dを計算し、母平均0との1標本t検定を行うことと同等である,等分散性の検定が必須である,自由度はn1+n2-2となる,正規性の仮定は不要である,2,対応のあるt検定は差dを取って1標本t検定を実行することと同等で、自由度はn-1。
30,"単回帰モデル y=β0+β1x+ε で最小二乗法によりβ0, β1を推定する。データとしてΣx=50, Σy=100, Σx^2=300, Σy^2=1100, Σxy=560, n=10とする。",回帰係数の推定値β1̂として最も近い値はどれか。,0.80,1.00,1.20,1.50,2.00,3,Sxx=300-50^2/10=50、Sxy=560-50×100/10=60。β1̂=Sxy/Sxx=60/50=1.20。
31,問30と同じデータについて、,切片β0̂として最も近い値はどれか。,2.0,3.0,4.0,5.0,6.0,3,x̄=5、ȳ=10。β0̂=ȳ-β1̂×x̄=10-1.2×5=10-6=4.0。
32,問30と同じデータで、Syy=1100-100^2/10=100、SSR(回帰平方和)=β1̂×Sxy=1.2×60=72とする。,決定係数R^2として最も近い値はどれか。,0.50,0.60,0.72,0.80,0.90,3,R^2=SSR/Syy=72/100=0.72。
33,単回帰分析において、相関係数rと決定係数R^2の関係について,次の記述のうち正しいものはどれか。,R^2 = |r|,R^2 = r^2,R^2 = r/n,R^2 = 1 - r^2,r = 1 - R^2,2,単回帰では、決定係数R^2は相関係数rの2乗に等しい。
34,"単回帰分析でβ1の推定値β1̂=2.0、その標準誤差SE(β1̂)=0.5、自由度18のt分布、t(18, 0.025)=2.101とする。",H0: β1=0の両側検定について検定統計量tの値と判定はどうか。,t=4.0、棄却する,t=4.0、棄却しない,t=2.0、棄却しない,t=0.25、棄却しない,t=0.5、棄却する,1,t=β1̂/SE=2.0/0.5=4.0。|t|=4.0>2.101なので帰無仮説β1=0を棄却する。
35,重回帰モデル y=β0+β1x1+β2x2+ε について、,自由度調整済み決定係数(adjusted R^2)を用いる主な理由として最も適切なものはどれか。,計算が容易である,R^2より常に大きな値になる,説明変数を増やすとR^2は単調に大きくなるため、変数の数を考慮した指標が必要,モデルの線形性を検定するため,残差の正規性を検定するため,3,通常のR^2は説明変数を追加すると単調に増えるため、変数の数で調整したadjusted R^2が比較に有用である。
36,単回帰の残差プロット(横軸:予測値ŷ、縦軸:残差e)を見たところ、残差の散らばりが予測値の大きさとともに広がる扇形パターンが観察された。,この所見から疑われる仮定の違反として最も適切なものはどれか。,誤差の独立性,誤差の正規性,誤差の等分散性(均一分散性),回帰係数の不偏性,パラメータの線形性,3,残差の散らばりが予測値とともに変化するのは不均一分散(heteroscedasticity)を示し、等分散性の仮定違反を疑う。
37,単回帰分析でR^2=0.81、Syy=200、n=22であった。残差の不偏分散(残差平均平方MSE)として最も近い値はどれか。,SSE=Syy(1-R^2)、MSE=SSE/(n-2)を用いる。,0.95,1.50,1.90,2.50,3.80,3,SSE=Syy×(1-R^2)=200×0.19=38。MSE=38/(22-2)=38/20=1.90。
38,母集団が正規分布に従い、母分散σ^2が未知の場合を考える。,母平均μの信頼区間の構成にはどの分布を用いるか。,標準正規分布,t分布,カイ二乗分布,F分布,二項分布,2,母分散未知の正規母集団における母平均の信頼区間はt分布(自由度n-1)を用いる。
39,中心極限定理について、,次の記述のうち最も適切なものはどれか。,元の母集団が正規分布でないと標本平均は正規分布に近づかない,"標本サイズnが十分大きいとき、標本平均X̄の分布は元の母集団の分布によらず近似的に正規分布N(μ, σ^2/n)に従う",標本サイズが小さいほど標本平均の分布は正規分布に近づく,母集団が離散分布の場合は中心極限定理は成り立たない,標本平均ではなく標本分散についての定理である,2,"中心極限定理は、有限の分散を持つ独立同分布からの標本平均は、nが大きいとき近似的にN(μ, σ^2/n)に従うことを述べる。"
40,"分散分析(一元配置ANOVA)で3群の母平均を比較したい。各群の標本サイズはn=10、群間平方和SSB=80、群内平方和SSW=270、F(2, 27, 0.05)=3.35とする。",検定統計量Fの値と有意水準5%での判定として正しいものはどれか。,F=2.00、棄却しない,F=4.00、棄却する,F=4.00、棄却しない,F=10.00、棄却する,F=0.30、棄却しない,2,MSB=80/(3-1)=40、MSW=270/(30-3)=10。F=MSB/MSW=40/10=4.0。F=4.0>3.35なので帰無仮説(全群の平均が等しい)を棄却する。
